Timestamp,Target IP,Hop Number,Hop IP,Latency,City,Region,Country
2024-11-07 23:10:17,104.237.164.0,29,104.237.164.64,169.1,Lagos,Lagos,NG
2024-11-07 23:10:17,104.237.164.0,30,104.237.164.65,174.1,Lagos,Lagos,NG
2024-11-07 23:10:17,104.237.160.0,1,10.192.146.1,1.9,,,
2024-11-07 23:10:17,104.237.160.0,2,172.22.1.1,2.1,,,
2024-11-07 23:10:17,104.237.160.0,4,172.21.18.154,18.9,,,
2024-11-07 23:10:17,104.237.160.0,7,142.251.49.132,21.8,Paris,Île-de-France,FR
2024-11-07 23:10:17,104.237.160.0,8,142.250.59.230,19.2,Paris,Île-de-France,FR
2024-11-07 23:10:17,104.237.160.0,10,192.178.81.40,104.9,Reston,Virginia,US
2024-11-07 23:10:17,104.237.160.0,11,192.178.81.227,107.5,Chicago,Illinois,US
2024-11-07 23:10:17,104.237.160.0,12,192.178.73.8,115.9,Chicago,Illinois,US
2024-11-07 23:10:17,104.237.160.0,13,172.253.77.129,116.9,Council Bluffs,Iowa,US
2024-11-07 23:10:17,104.237.160.0,14,142.251.237.109,126.3,Omaha,Nebraska,US
2024-11-07 23:10:17,104.237.160.0,15,172.253.51.123,127.7,Denver,Colorado,US
2024-11-07 23:10:17,104.237.160.0,16,192.178.97.153,130.8,Denver,Colorado,US
2024-11-07 23:10:17,104.237.160.0,17,74.125.242.224,127.1,Denver,Colorado,US
2024-11-07 23:10:17,64.233.160.0,1,10.192.146.1,2.2,,,
2024-11-07 23:10:17,64.233.160.0,2,172.22.1.1,2.0,,,
2024-11-07 23:10:17,64.233.160.0,4,172.21.18.154,18.0,,,
2024-11-07 23:10:17,64.233.160.0,6,72.14.233.195,19.0,Paris,Île-de-France,FR
2024-11-07 23:10:17,64.233.160.0,7,142.250.59.100,18.8,Paris,Île-de-France,FR
2024-11-07 23:10:17,64.233.160.0,8,108.170.238.162,23.0,Paris,Île-de-France,FR
2024-11-07 23:10:17,64.233.160.0,9,216.239.43.184,95.2,Washington,District of Columbia,US
2024-11-07 23:10:17,64.233.160.0,10,192.178.81.231,147.7,Chicago,Illinois,US
2024-11-07 23:10:17,64.233.160.0,11,209.85.250.157,120.0,Chicago,Illinois,US
2024-11-07 23:10:17,64.233.160.0,12,74.125.251.107,127.4,Tulsa,Oklahoma,US
2024-11-07 23:10:17,64.233.160.0,13,142.250.57.243,120.1,Dallas,Texas,US
2024-11-07 23:10:17,66.102.0.0,1,10.192.146.1,2.2,,,
2024-11-07 23:10:17,66.102.0.0,2,172.22.1.1,2.4,,,
2024-11-07 23:10:17,66.102.0.0,4,172.21.18.154,32.5,,,
2024-11-07 23:10:17,66.102.0.0,6,72.14.233.77,18.2,Paris,Île-de-France,FR
2024-11-07 23:10:17,66.102.0.0,7,108.170.255.164,21.9,Paris,Île-de-France,FR
2024-11-07 23:10:17,66.102.0.0,8,108.170.230.211,19.3,Paris,Île-de-France,FR
2024-11-07 23:10:17,66.102.0.0,9,216.239.43.184,95.3,Washington,District of Columbia,US
2024-11-07 23:10:17,66.102.0.0,10,192.178.75.106,207.6,Ashburn,Virginia,US
2024-11-07 23:10:17,66.102.0.0,11,172.253.67.192,207.1,Osasco,São Paulo,BR
2024-11-07 23:10:17,66.102.0.0,12,192.178.242.29,210.4,Osasco,São Paulo,BR
2024-11-07 23:10:17,66.102.0.0,13,192.178.75.158,208.9,Osasco,São Paulo,BR
2024-11-07 23:10:17,66.249.80.0,1,10.192.146.1,1.8,,,
2024-11-07 23:10:17,66.249.80.0,2,172.22.1.1,2.4,,,
2024-11-07 23:10:17,66.249.80.0,4,172.21.18.154,21.5,,,
2024-11-07 23:10:17,66.249.80.0,6,72.14.233.195,20.5,Paris,Île-de-France,FR
2024-11-07 23:10:17,66.249.80.0,7,142.250.59.230,18.9,Paris,Île-de-France,FR
2024-11-07 23:10:17,66.249.80.0,8,209.85.251.216,20.7,Paris,Île-de-France,FR
2024-11-07 23:10:17,66.249.80.0,9,216.239.43.186,94.1,Paris,Île-de-France,FR
2024-11-07 23:10:17,66.249.80.0,10,192.178.81.227,108.3,Chicago,Illinois,US
2024-11-07 23:10:17,66.249.80.0,11,209.85.250.157,121.4,Chicago,Illinois,US
2024-11-07 23:10:17,66.249.80.0,12,142.250.58.214,123.0,Oklahoma City,Oklahoma,US
2024-11-07 23:10:17,66.249.80.0,13,142.250.58.43,120.5,Dallas,Texas,US
2024-11-07 23:10:17,72.14.192.0,1,10.192.146.1,1.9,,,
2024-11-07 23:10:17,72.14.192.0,2,172.22.1.1,2.2,,,
2024-11-07 23:10:17,72.14.192.0,4,172.21.18.154,18.1,,,
2024-11-07 23:10:17,72.14.192.0,6,72.14.236.137,21.9,Paris,Île-de-France,FR
2024-11-07 23:10:17,72.14.192.0,7,142.250.234.41,18.6,Paris,Île-de-France,FR
2024-11-07 23:10:17,74.125.0.0,4,172.21.18.154,18.6,,,
2024-11-07 23:10:17,74.125.0.0,6,72.14.233.77,19.8,Paris,Île-de-France,FR
2024-11-07 23:10:17,74.125.0.0,7,108.170.255.168,18.2,Paris,Île-de-France,FR
2024-11-07 23:10:17,74.125.0.0,8,209.85.251.179,18.3,Paris,Île-de-France,FR
2024-11-07 23:10:17,74.125.0.0,9,142.251.236.222,25.7,London,England,GB
2024-11-07 23:10:17,74.125.0.0,10,172.253.72.147,94.0,New York City,New York,US
2024-11-07 23:10:17,74.125.0.0,11,142.251.69.65,101.1,New York City,New York,US
2024-11-07 23:10:17,74.125.0.0,12,142.250.46.187,109.9,Toronto,Ontario,CA
2024-11-07 23:10:17,74.125.0.0,13,192.178.98.123,112.6,Toronto,Ontario,CA
2024-11-07 23:10:17,173.194.0.0,2,172.22.1.1,1.9,,,
2024-11-07 23:10:17,173.194.0.0,4,172.21.18.154,18.5,,,
2024-11-07 23:10:17,173.194.0.0,6,72.14.233.195,17.5,Paris,Île-de-France,FR
2024-11-07 23:10:17,173.194.0.0,7,142.250.59.100,23.1,Paris,Île-de-France,FR
2024-11-07 23:10:17,173.194.0.0,8,108.170.233.114,21.8,Paris,Île-de-France,FR
2024-11-07 23:10:17,173.194.0.0,9,142.251.67.166,23.5,Paris,Île-de-France,FR
2024-11-07 23:10:17,173.194.0.0,11,192.178.86.9,21.5,Brussels,Brussels Capital,BE
2024-11-07 23:10:17,209.85.128.0,4,172.21.18.154,17.9,,,
2024-11-07 23:10:17,216.58.192.0,1,10.192.146.1,64.9,,,
2024-11-07 23:10:17,216.58.192.0,2,172.22.1.1,10.0,,,
2024-11-07 23:10:17,216.58.192.0,4,172.21.18.154,17.7,,,
2024-11-07 23:10:17,216.58.192.0,6,72.14.236.137,21.4,Paris,Île-de-France,FR
2024-11-07 23:10:17,216.239.32.0,4,172.21.18.154,17.1,,,
2024-11-07 23:10:17,216.239.32.0,6,72.14.233.77,18.0,Paris,Île-de-France,FR
2024-11-07 23:40:17,64.15.126.0,1,10.192.146.1,2.4,,,
2024-11-07 23:40:17,64.15.126.0,2,172.22.1.1,1.8,,,
2024-11-07 23:40:17,64.15.126.0,4,172.21.18.154,17.6,,,
2024-11-07 23:40:17,64.15.126.0,5,213.144.168.20,20.8,Paris,Île-de-France,FR
2024-11-07 23:40:17,64.15.126.0,6,149.3.183.83,53.7,London,England,GB
2024-11-07 23:40:17,64.15.126.0,7,195.22.209.223,27.1,London,England,GB
2024-11-07 23:40:17,64.15.112.0,4,172.21.18.154,18.7,,,
2024-11-07 23:40:17,64.15.112.0,5,213.144.168.20,21.8,Paris,Île-de-France,FR
2024-11-07 23:40:17,64.15.112.0,6,149.3.183.83,31.1,London,England,GB
2024-11-07 23:40:17,64.15.112.0,7,195.22.209.223,27.9,London,England,GB
2024-11-07 23:40:17,216.73.80.0,1,10.192.146.1,2.1,,,
2024-11-07 23:40:17,216.73.80.0,2,172.22.1.1,2.7,,,
2024-11-07 23:40:17,216.73.80.0,4,172.21.18.154,19.7,,,
2024-11-07 23:40:17,216.73.80.0,7,142.251.49.130,17.8,Paris,Île-de-France,FR
2024-11-07 23:40:17,216.73.80.0,8,192.178.81.162,18.1,Paris,Île-de-France,FR
2024-11-07 23:40:17,216.73.80.0,10,192.178.81.40,96.4,Reston,Virginia,US
2024-11-07 23:40:17,216.73.80.0,11,192.178.81.143,104.2,Charlotte,North Carolina,US
